company,ratings,Industry,location,reviews,salaries,jobs
"ACT, Fibernet",3.8,Telecom,Hyderabad,2600.0,7800.0,150.0
"Tata, Advanced, Systems",3.7,Defence & Aerospace,Bengaluru,2500.0,12800.0,0.0
"Himalaya, Wellness",4.0,Pharma,Bengaluru,2500.0,6200.0,48.0
"Sahrudaya, Healthcare, Medicover, Hospitals",4.4,Healthcare,Hyderabad,2500.0,3500.0,36.0
Foundever,3.3,BPO,Hyderabad,2500.0,8900.0,84.0
"Photon, Interactive",4.1,IT Services & Consulting,Chennai,2500.0,7400.0,785.0
"BT, Group",3.8,Telecom,Gurugram,2500.0,11600.0,6.0
"Sterlite, Technologies",3.8,Hardware & Networking,Chhatrapati,2500.0,10100.0,117.0
"Alldigi, Tech",3.9,BPO,Chennai,2500.0,7600.0,50.0
"V, Mart",4.0,Retail,Gurugram,2500.0,4400.0,19.0
IntouchCX,2.7,BPO,Hyderabad,2500.0,10000.0,225.0
"Bajaj, Electricals",3.9,Consumer Electronics & Appliances,Mumbai,2500.0,7500.0,21.0
"Tractors, and, Farm, Equipment",3.9,Industrial Machinery,Chennai,2500.0,8500.0,18.0
"Sammaan, Capital, Limited",3.8,NBFC,Gurugram,2500.0,5800.0,12.0
"Northern, Trust, Operating, Services",3.6,Financial Services,Bengaluru,2500.0,17300.0,66.0
"Laurus, Labs",4.3,Pharma,Visakhapatnam,2500.0,7300.0,4.0
JCB,3.9,Industrial Machinery,Pune,2500.0,9600.0,0.0
"Parle, Agro",4.0,Beverage,Mumbai,2500.0,6700.0,0.0
"Canara, HSBC, Life, Insurance",3.6,Insurance,Gurugram,2500.0,6300.0,5.0
"Planet, Spark",3.8,EdTech,Gurugram,2400.0,3500.0,73.0
"McDonald, s",3.9,Hospitality,New,2400.0,4900.0,3.0
"Patanjali, Ayurved",3.9,FMCG,Haridwar,2400.0,5800.0,0.0
"ICICI, Securities",3.9,Financial Services,Mumbai,2400.0,9700.0,1.0
"Paras, Hospital",4.1,Healthcare,Patna,2400.0,3200.0,87.0
"Hero, FinCorp",3.9,NBFC,New,2400.0,5800.0,83.0
"Emcure, Pharmaceuticals",3.6,Pharma,Pune,2400.0,8400.0,60.0
"Statestreet, HCL, Services",3.4,BPO,Chennai,2400.0,13500.0,0.0
"Biocon, Limited",4.1,Biotechnology,Bengaluru,2400.0,11600.0,8.0
"Intellect, Design, Arena",3.6,Software Product,Chennai,2400.0,13500.0,30.0
"Mahindra, Rural, Housing, Finance",4.0,NBFC,Mumbai,2400.0,4700.0,17.0
"Datamatics, Global, Services",3.4,IT Services & Consulting,Mumbai,2400.0,11700.0,63.0
"Mahindra, Holidays, Resorts",3.5,Hospitality,Mumbai,2400.0,5900.0,65.0
"Adani, Group",3.8,Power,Ahmedabad,2400.0,11200.0,894.0
"CorroHealth, Infotech",3.6,Analytics & KPO,Hyderabad,2400.0,7400.0,50.0
"Taj, Hotels, Resorts, and, Palaces",4.2,Hospitality,Mumbai,2400.0,4800.0,467.0
"Aditya, Birla, Group",4.1,Metals & Mining,Mumbai,2400.0,10000.0,7.0
"Axis, Direct",3.6,Financial Services,Mumbai,2400.0,4600.0,47.0
"Cadila, Pharmaceuticals",3.3,Pharma,Ahmedabad,2400.0,8000.0,107.0
"Cholamandalam, MS, General, Insurance",3.7,Insurance,Chennai,2400.0,6000.0,0.0
"Syngene, International",3.8,Clinical Research,Bengaluru,2400.0,12600.0,5.0
"3i, Infotech",3.4,IT Services & Consulting,Mumbai,2400.0,10700.0,80.0
"Info, Edge",3.9,Internet,Noida,2400.0,11300.0,390.0
"Capgemini, Engineering",3.4,IT Services & Consulting,Bengaluru,2300.0,14100.0,0.0
"Bureau, Veritas",3.8,Other,Mumbai,2300.0,8100.0,20.0
KocharTech,3.6,IT Services & Consulting,Kolkata,2300.0,3800.0,29.0
TaskUs,3.0,BPO,Indore,2300.0,9500.0,291.0
"Delhi, Public, School",3.8,Education & Training,New,2300.0,5300.0,141.0
"Aavas, Financiers",4.0,NBFC,Jaipur,2300.0,5500.0,42.0
RMSI,3.5,IT Services & Consulting,Hyderabad,2300.0,8800.0,14.0
Cybage,3.8,IT Services & Consulting,Pune,2300.0,17200.0,18.0
Xoriant,4.1,IT Services & Consulting,Pune,2300.0,11600.0,35.0
Straive,3.3,IT Services & Consulting,Chennai,2300.0,10200.0,97.0
"Sopra, Steria",3.9,IT Services & Consulting,Noida,2300.0,14100.0,55.0
"Akums, Drugs, Pharmaceuticals, Limited",4.2,Pharma,Haridwar,2300.0,6300.0,16.0
Lifestyle,4.2,Retail,Bengaluru,2300.0,6700.0,20.0
"Kia, India",4.0,Automobile,Anantapur,2300.0,8200.0,80.0
"GVK, Emergency, Management, and, Research, Institute",3.6,Non-Profit,Lucknow,2300.0,4600.0,63.0
"Eureka, Forbes",3.7,Consumer Electronics & Appliances,Mumbai,2300.0,5600.0,8.0
Sobha,3.8,Real Estate,Bengaluru,2300.0,8300.0,45.0
"Apollo, Pharmacy",3.6,Pharma,Hyderabad,2300.0,6800.0,1000.0
Lodha,4.1,Real Estate,Mumbai,2300.0,8800.0,192.0
Unacademy,2.9,EdTech,Bengaluru,2300.0,10200.0,40.0
"Radisson, Hotels",4.0,Hospitality,New,2200.0,5100.0,38.0
Myntra,3.9,Internet,Bengaluru,2200.0,10500.0,8.0
"GAO, Tek",4.5,Electrical Equipment,New,2200.0,260.0,0.0
"Endurance, Technologies, Limited",3.9,Auto Components,Chhatrapati,2200.0,7800.0,20.0
"SBI, Securities",3.6,Financial Services,Mumbai,2200.0,6700.0,45.0
TCE,3.8,Engineering & Construction,Mumbai,2200.0,9500.0,25.0
"Team, Computers",3.6,IT Services & Consulting,New,2200.0,8500.0,178.0
"Panasonic, Life, Solutions, India",3.9,Consumer Electronics & Appliances,Haridwar,2200.0,6800.0,19.0
"Newgen, Software, Technologies",4.0,IT Services & Consulting,Noida,2200.0,11600.0,47.0
"AWL, Agri, Business",4.0,FMCG,Ahmedabad,2200.0,6800.0,17.0
"Lava, International",3.9,Consumer Electronics & Appliances,Noida,2200.0,4400.0,1.0
"Star, Union, Dai, ichi, Life, Insurance",3.8,Insurance,Mumbai,2200.0,5300.0,14.0
"Daikin, Airconditioning, India, Pvt, Ltd",4.2,Consumer Electronics & Appliances,Neemrana,2200.0,7800.0,1.0
Cisco,4.1,Hardware & Networking,Bengaluru,2200.0,18800.0,178.0
"Bharti, AXA, Life, Insurance",3.6,Insurance,Mumbai,2200.0,5200.0,32.0
"BNP, Paribas",3.7,Banking,Mumbai,2200.0,18300.0,25.0
Whirlpool,4.0,Consumer Electronics & Appliances,Pune,2200.0,8000.0,13.0
"SBI, General, Insurance",3.6,Insurance,Mumbai,2200.0,6500.0,30.0
"Indian, Railways",4.2,Railways,Kolkata,2200.0,3400.0,0.0
Meesho,3.7,Internet,Bengaluru,2200.0,9500.0,179.0
"Coromandel, International",4.1,Agro Chemicals,Visakhapatnam,2200.0,7600.0,14.0
"GlaxoSmithKline, Pharmaceuticals",4.0,Pharma,Bengaluru,2200.0,5700.0,44.0
"Renault, Nissan, Technology, Business, Centre, India",3.7,Automobile,Chennai,2200.0,14700.0,30.0
"Shahi, Exports",3.9,Fashion & Textile,Bengaluru,2200.0,6900.0,43.0
"Sify, Technologies",3.6,IT Services & Consulting,Chennai,2200.0,9900.0,60.0
"Nokia, Networks",4.1,Hardware & Networking,Chennai,2200.0,10400.0,0.0
"Ambuja, Cements",3.8,Building Material,Mumbai,2200.0,6100.0,0.0
ValueLabs,3.5,IT Services & Consulting,Hyderabad,2200.0,16100.000000000002,83.0
Allstate,3.7,Insurance,Pune,2200.0,12200.0,10.0
"Bank, of, Baroda",3.5,Banking,Mumbai,2100.0,7100.0,0.0
"Microsoft, Corporation",3.8,Software Product,Bengaluru,2100.0,29800.0,0.0
"Life, Insurance, Corporation, of, India",4.4,Insurance,New,2100.0,4500.0,1.0
"Brakes, India",3.9,Auto Components,Chennai,2100.0,7100.0,8.0
BHEL,4.2,Electrical Equipment,Bengaluru,2100.0,5200.0,0.0
"Spark, Minda",3.8,Auto Components,Pune,2100.0,7200.0,3.0
Cargill,3.9,Food Processing,Bengaluru,2100.0,8500.0,307.0
"Poonawalla, Fincorp",3.5,NBFC,Pune,2100.0,5800.0,19.0
"Mercedes, Benz, Research, and, Development, India",3.6,IT Services & Consulting,Bengaluru,2100.0,17800.0,330.0
upGrad,3.3,EdTech,Bengaluru,2100.0,9200.0,79.0
"Huawei, Technologies",4.1,Telecom,Bengaluru,2100.0,8000.0,34.0
"JK, Tyre",3.8,Auto Components,Chennai,2100.0,6800.0,0.0
CAMS,3.6,Financial Services,Chennai,2100.0,8600.0,22.0
FirstCry,3.6,Retail,Pune,2100.0,8600.0,1.0
"Generali, Central, Life, Insurance",3.5,Insurance,Mumbai,2100.0,6700.0,6.0
"Power, Mech, Projects",3.8,Engineering & Construction,Hyderabad,2100.0,6800.0,13.0
"Saint, Gobain",3.8,Building Material,Mumbai,2100.0,11600.0,165.0
"Jio, Platforms",3.4,IT Services & Consulting,Mumbai,2100.0,14200.0,0.0
"Simplex, Infrastructures",3.4,Engineering & Construction,Kolkata,2100.0,4400.0,2.0
Pfizer,3.9,Pharma,Visakhapatnam,2100.0,5800.0,56.0
"Maruti, Suzuki, India, Limited, Hansalpur",4.2,Automobile,Ahmedabad,2100.0,6800.0,0.0
"Bharat, Petroleum",4.1,Oil & Gas,Mumbai,2100.0,6900.0,0.0
"Nuvoco, Vistas",4.1,Building Material,Kolkata,2100.0,6900.0,22.0
"NTT, DATA, Business, Solutions",4.1,IT Services & Consulting,Bengaluru,2100.0,12500.0,29.0
"Force, Motors",3.7,Automobile,Pune,2100.0,8300.0,8.0
"Manipal, Hospitals",4.1,Healthcare,Bengaluru,2100.0,6900.0,90.0
"Kotak, Securities",3.5,Financial Services,Mumbai,2100.0,9500.0,35.0
"Raymond, Lifestyle, Limited",4.1,Fashion & Textile,Mumbai,2100.0,6400.0,0.0
"Reliance, Trends",4.1,Retail,Bengaluru,2100.0,4200.0,0.0
"Ola, Cabs",3.3,Internet,Bengaluru,2100.0,9100.0,14.0
"ITC, Hotels",4.1,Hospitality,Bengaluru,2100.0,5300.0,0.0
"Infinite, Computer, Solutions",3.3,IT Services & Consulting,Bengaluru,2000.0,15200.0,252.0
CitiusTech,3.2,IT Services & Consulting,Mumbai,2000.0,14400.0,42.0
"Renault, Nissan",4.1,Automobile,Chennai,2000.0,7600.0,0.0
"IndusInd, General, Insurance",3.6,Insurance,Mumbai,2000.0,7100.0,13.0
"Biological, E",4.2,Pharma,Hyderabad,2000.0,7000.0,34.0
"Delphi, TVS",3.8,Auto Components,Chennai,2000.0,5600.0,3.0
"Henry, Harvin, Education",3.6,EdTech,Noida,2000.0,919.0,47.0
"Extramarks, Education",3.3,EdTech,Noida,2000.0,7500.0,4.0
"Morgan, Stanley",3.6,Financial Services,Mumbai,2000.0,26600.0,7.0
SGS,3.8,"Testing, Inspection and Certification (TIC)",Mumbai,2000.0,6400.0,137.0
"EPAM, Systems",3.7,IT Services & Consulting,Hyderabad,2000.0,22700.0,223.0
"YASH, Technologies",3.7,IT Services & Consulting,Hyderabad,2000.0,16200.0,464.0
"K12, Techno, Services",3.7,EdTech,Bengaluru,2000.0,5200.0,415.0
"Senco, Gold",4.4,Jewellery,Kolkata,2000.0,1500.0,1.0
Ninjacart,3.8,Internet,Bengaluru,2000.0,5000.0,23.0
Novartis,4.1,Pharma,Hyderabad,2000.0,10200.0,132.0
"State, Street, Syntel",3.7,Financial Services,Mumbai,2000.0,7000.0,0.0
"IDBI, Bank",3.4,Banking,Mumbai,2000.0,6100.0,0.0
SAP,4.1,Software Product,Bengaluru,2000.0,17600.0,0.0
"Aditya, Birla, Health, Insurance, Co",3.7,Insurance,Mumbai,2000.0,7200.0,3.0
"Narayana, Health",4.0,Healthcare,Bengaluru,2000.0,6000.0,118.0
"HSBC, Electronic, Data, Processing",4.0,IT Services & Consulting,Bengaluru,2000.0,8600.0,0.0
"L, T, Energy, Hydrocarbon",3.8,Engineering & Construction,Vadodara,2000.0,8400.0,0.0
AECOM,4.2,Engineering & Construction,Gurugram,1900.0,7000.0,174.0
"Shadowfax, Technologies",3.5,Logistics,Bengaluru,1900.0,7600.0,74.0
"Honeywell, Automation",3.7,Industrial Automation,Pune,1900.0,12100.0,0.0
"Paisabazaar, com",3.4,Internet,Gurugram,1900.0,7000.0,40.0
Schindler,3.9,Industrial Machinery,Pune,1900.0,6200.0,69.0
"Haier, Appliances, India",4.0,Consumer Electronics & Appliances,Pune,1900.0,7000.0,51.0
Trent,3.8,Retail,Mumbai,1900.0,4800.0,16.0
